GUID,SCIENTIFIC_NAME,Subspecies-tag,key notes,Subspecies-key,Subspecies-geography,Sub(1),Sub(2),Sub(3),COLLECTORS,COUNTRY,STATE_PROV,locality,VERBATIM_DATE,PARTS,sex,Here?,Condition,Comments,wc,tl,cul,tarsus
47924,Callipepla douglasii,impedita,impedita,impedita,impedita,4,4,4,Chester C. Lamb,Mexico,Nayarit,San Blas,24-Mar-48,skin,female,y,good,adult,105.3,55.6,13.8,36.9
58241,Callipepla douglasii,impedita,impedita,impedita,douglasii,4,4,1,Chester C. Lamb,Mexico,Nayarit,5 mi S Acaponeta,8-Nov-54,skin,female,y,good,adult,107.3,59.8,14.9,33.1
18034,Callipepla douglasii,douglasii,int ,intergrade,douglasii,1,6,1,Chester C. Lamb,Mexico,Sinaloa,Elota,23-Mar-37,skin,male,y,good,adult,104.4,66.3,13.7,32.4
5661,Callipepla douglasii,douglasii,int: 1 crest 2 throat,intergrade,douglasii,1,6,1,J. T. Wright,Mexico,Sonora,Camoa,14-Feb-31,skin,female,y ,good ,adult,109.6,62.2,12.6,29.7
6617,Callipepla douglasii,douglasii,int: 1 w/2 breast,intergrade,douglasii,1,6,1,Chester C. Lamb,Mexico,Sinaloa,Yecorato,4-May-33,skin,male,y,good,adult,107.5,65.1,13.3,29.7
6650,Callipepla douglasii,douglasii,int: 1 w/2 breast,intergrade,douglasii,1,6,1,Chester C. Lamb,Mexico,Sinaloa,Ahome,5-Aug-33,skin,male,y,good,adult,113.9,66.7,14.1,33.9
6648,Callipepla douglasii,douglasii,int: 1 w/2 breast + throat,intergrade,douglasii,1,6,1,Chester C. Lamb,Mexico,Sinaloa,Yecorato,1-May-33,skin,male,y,good,adult,110.9,61.2,14.1,32.2
11884,Callipepla douglasii,douglasii,int: 1 w/2 throat,intergrade,douglasii,1,6,1,Chester C. Lamb,Mexico,Sinaloa,El Rosario area,15-Oct-34,skin,male,y,good,adult,113.4,58.2,14,32.5
19708,Callipepla douglasii,douglasii,int: 1 w/2 throat,intergrade,douglasii,1,6,1,Chester C. Lamb,Mexico,Durango,Tamazula,11-Dec-37,skin,male,y,good,adult,111.4,63.7,14,33
19721,Callipepla douglasii,douglasii,int: 1 w/2 throat,intergrade,douglasii,1,6,1,Chester C. Lamb,Mexico,Durango,Tamazula,2-Dec-37,skin,female,y,good,adult,109.6,64.4,14.4,29.9
